"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2018","412.28","420.90","446.00","412.28","0.05K","-2.05"
"Apr 08, 2018","420.90","400.20","424.99","400.20","0.04K","5.17"
"Apr 07, 2018","400.20","424.99","446.99","400.00","0.01K","-5.83"
"Apr 06, 2018","424.99","433.99","433.99","380.00","0.01K","-2.07"
"Apr 05, 2018","433.99","450.00","450.00","380.00","0.04K","-3.56"
"Apr 04, 2018","450.00","486.90","486.90","420.10","0.01K","-7.58"
"Apr 03, 2018","486.90","415.00","486.90","415.00","0.02K","17.33"
"Apr 02, 2018","415.00","412.00","450.00","412.00","0.00K","0.73"
"Apr 01, 2018","412.00","500.00","500.00","412.00","0","-17.60"
"Mar 31, 2018","500.00","400.00","649.00","400.00","0.05K","1.01"
"Mar 30, 2018","495.00","400.00","495.00","400.00","0.04K","23.75"
"Mar 29, 2018","400.00","471.00","475.00","400.00","0.05K","-15.07"
"Mar 28, 2018","471.00","500.00","549.97","471.00","0.01K","-5.80"
"Mar 27, 2018","500.00","515.00","555.53","500.00","0.04K","-2.91"
"Mar 26, 2018","515.00","636.90","649.00","510.00","0.11K","-19.14"
"Mar 25, 2018","636.90","570.00","636.90","560.10","0","11.74"
"Mar 24, 2018","570.00","571.00","571.00","570.00","0.00K","-0.18"
"Mar 23, 2018","571.00","575.00","575.00","571.00","0.01K","-0.70"
"Mar 22, 2018","575.00","654.00","688.00","575.00","0.08K","-12.08"
"Mar 21, 2018","654.00","689.99","689.99","599.00","0.01K","-5.22"
"Mar 20, 2018","689.99","570.00","750.00","570.00","0.04K","21.05"
"Mar 19, 2018","570.00","560.00","650.00","560.00","0.03K","1.79"
"Mar 18, 2018","560.00","600.00","699.00","535.00","0.07K","-6.67"
"Mar 17, 2018","600.00","750.00","750.00","600.00","0.03K","-20.00"
"Mar 16, 2018","750.00","622.00","800.00","619.00","0.02K","20.58"
"Mar 15, 2018","622.00","680.00","740.00","622.00","0.05K","-8.53"
"Mar 14, 2018","680.00","800.00","800.00","680.00","0.05K","-15.00"
"Mar 13, 2018","800.00","800.00","800.00","800.00","0","13.48"
"Mar 12, 2018","705.00","705.00","705.00","705.00","0","0.00"
"Mar 11, 2018","705.00","708.00","708.00","705.00","0","-0.42"
"Mar 10, 2018","708.00","899.00","899.00","708.00","0.01K","-21.25"
"","","","","","",""
"","Highest:899.00","Lowest:380.00","Difference:519.00","Average:552.71","Change %:-54.14"
