Created on 04-08-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-04-08,ETHUSD,384.93,403.88,384.61,399.23,23174.75,9144032.54
2018-04-07,ETHUSD,369.4,394.7,368.4,384.93,29722.68,11413277.53
2018-04-06,ETHUSD,380.48,385,362.17,369.4,46188.4,17087024.07
2018-04-05,ETHUSD,377.95,387.33,364,380.48,63598.76,23920707.94
2018-04-04,ETHUSD,415.84,417.95,368.02,377.95,81814.42,31611035.41
2018-04-03,ETHUSD,384.26,520.11,379.37,415.84,67708.75,27080953.18
2018-04-02,ETHUSD,378.48,394.5,375.32,384.26,41704.66,16065457.9
2018-04-01,ETHUSD,392.4,401,359.01,378.48,66023.83,24764158.11
2018-03-31,ETHUSD,392.54,419.29,388.81,392.4,69847.26,28030035.29
2018-03-30,ETHUSD,383.56,411,363.49,392.54,138434.36,52900770.86
2018-03-29,ETHUSD,445.87,448.83,379.64,383.56,145513.65,59377077.4
2018-03-28,ETHUSD,447.4,465.51,440.01,445.87,55047.58,24786072.27
2018-03-27,ETHUSD,485.51,491.98,445.75,447.4,107521.06,49369768.53
2018-03-26,ETHUSD,522.79,526.67,466.8,485.51,68107.83,33239101.27
2018-03-25,ETHUSD,519.53,536,512.21,522.79,31744.69,16525917.18
2018-03-24,ETHUSD,544.29,545.12,519.5,519.53,30202.42,16178665.9
2018-03-23,ETHUSD,539.94,544.29,507,544.29,64348.52,33542288.7
2018-03-22,ETHUSD,559.79,578.04,507.97,539.94,66083.61,35503517.53
2018-03-21,ETHUSD,557.5,590.71,544.5,559.79,69614.47,39600216.88
2018-03-20,ETHUSD,554.96,570.4,516.06,557.5,81902.44,44593180.04
2018-03-19,ETHUSD,535.15,557.98,435,554.96,82462.8,44014605.05
2018-03-18,ETHUSD,548,553.44,453.3,535.15,203572.56,101669610.39
2018-03-17,ETHUSD,600.01,609.3,540.21,548,72021.46,41180036.06
2018-03-16,ETHUSD,609,627.51,581.21,600.01,51929.61,31531104.27
2018-03-15,ETHUSD,610.89,621.4,570,609,74990.05,44857485.32
2018-03-14,ETHUSD,685.64,702.99,582.7,610.89,71297.17,45648749.77
2018-03-13,ETHUSD,694.72,715.78,676.5,685.64,20238.75,14028923.66
2018-03-12,ETHUSD,719.11,739.15,677,694.72,28686.63,20272791.72
2018-03-11,ETHUSD,680.7,737.5,655.53,719.11,36494.07,25345573.98
2018-03-10,ETHUSD,724.4,751.84,650.01,680.7,43006.24,30665399.67
2018-03-09,ETHUSD,698.8,730.31,641.1,724.4,56793.54,38665523.06
2018-03-08,ETHUSD,750,775,686.01,698.8,43357.24,31620018.07
2018-03-07,ETHUSD,815.81,825.89,724.32,750,42363.99,32409177.01
2018-03-06,ETHUSD,849.91,850.35,801.8,815.81,27404.3,22631494.31
2018-03-05,ETHUSD,864.9,868.77,849.21,849.91,19575.36,16834836.01
2018-03-04,ETHUSD,853.4,867.38,837.05,864.9,12667.96,10863829.18
2018-03-03,ETHUSD,855.19,869.8,852,853.4,11865.36,10231304.54
2018-03-02,ETHUSD,869.75,878,845,855.19,14116.05,12197988.79
2018-03-01,ETHUSD,850.1,879.78,843.11,869.75,20071.1,17349581.65
2018-02-28,ETHUSD,870.91,888,847.59,850.1,22942.45,19934631.47
2018-02-27,ETHUSD,865.37,898.98,860.5,870.91,17717.71,15579354.86
2018-02-26,ETHUSD,840,880.94,834.99,865.37,30961.2,26646173.44
2018-02-25,ETHUSD,832.98,852.67,816.75,840,22771.15,19002920.32
2018-02-24,ETHUSD,854.35,875.78,807.41,832.98,35240.51,29476770.18
2018-02-23,ETHUSD,804.36,883.75,785,854.35,54085.83,45593562.4
2018-02-22,ETHUSD,840.35,874.98,780,804.36,56937.8,46849294.95
2018-02-21,ETHUSD,882.61,908.11,817,840.35,56008.09,48068731.53
2018-02-20,ETHUSD,940.64,958.99,875.01,882.61,31607.42,29226331.99
