Created on 04-08-2018,http://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-04-08 07-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 06-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 05-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 04-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 03-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 02-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 01-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 12-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 11-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 10-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 09-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 08-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 07-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 06-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 05-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 04-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 03-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 02-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 01-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-08 12-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 11-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 10-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 09-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 08-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 07-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 06-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 05-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 04-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 03-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 02-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 01-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 12-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 11-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 10-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 09-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 08-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 07-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 06-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 05-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 04-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 03-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 02-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 01-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-07 12-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 11-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 10-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 09-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 08-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 07-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 06-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 05-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 04-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 03-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 02-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 01-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 12-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 11-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 10-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 09-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 08-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 07-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 06-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 05-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 04-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 03-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 02-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 01-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-06 12-AM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 11-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
2018-04-05 10-PM,BTCUSD,11857.74,11857.74,11857.74,11857.74,0,0
