Created on 04-08-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-04-08 07-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 06-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 05-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 04-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 03-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 02-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 01-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 12-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 11-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 10-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 09-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 08-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 07-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 06-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 05-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 04-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 03-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 02-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 01-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-08 12-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 11-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 10-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 09-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 08-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 07-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 06-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 05-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 04-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 03-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 02-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 01-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 12-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 11-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 10-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 09-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 08-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 07-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 06-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 05-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 04-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 03-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 02-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 01-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-07 12-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 11-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 10-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 09-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 08-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 07-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 06-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 05-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 04-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 03-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 02-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 01-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 12-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 11-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 10-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 09-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 08-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 07-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 06-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 05-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 04-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 03-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 02-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 01-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-06 12-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 11-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 10-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 09-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 08-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 07-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 06-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 05-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 04-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 03-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 02-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 01-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 12-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 11-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 10-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 09-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 08-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 07-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 06-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 05-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 04-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 03-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 02-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 01-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-05 12-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 11-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 10-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 09-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 08-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 07-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 06-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 05-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 04-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 03-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 02-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 01-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 12-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 11-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 10-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 09-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 08-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 07-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 06-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 05-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 04-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 03-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 02-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 01-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-04 12-AM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 11-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 10-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 09-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 08-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 07-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 06-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 05-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 04-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 03-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 02-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
2018-04-03 01-PM,ETHUSD,329.44,329.44,329.44,329.44,0.0,0.0
